ID	Name	_CATEGORY	UiID	Genre	SubType	DetailType	Quality	Price	BindType	MaxExistTime	MaxExistAmount	MaxDurability	CanStack	CanConsume	CanTrade	CanDestroy	ScriptName	SkillID	SkillLevel	_LEVEL	CoolDownID	RequireLevel	RequireProfessionID	RequireProfessionBranch	RequireProfessionLevel	RequireGender	CanUseOnHorse	CanUseInFight	CanGoodCampUse	CanEvilCampUse	CanNeutralCampUse	AucGenre	AucSubType	RequireForce	RequireCamp	TargetType	Prefix	Postfix	EnchantID	BoxID	ExistType	MapBanUseItemMask	IgnoreBindMask	BelongForceMask
130	野猪肝	默认分类	547	3	0	0	1	5	1	0	0	10	1	1	1	1		0	0	0																								
131	野猪皮	默认分类	548	3	0	0	1	0	1	0	0	10	1	1	1	1		0	0	0																								
132	新鲜的蔬菜	寇岛	2978	2	0	0	1	0	3	0	1		1	0	0	1		0	0	0																								
133	贡品	寇岛	2979	2	0	0	1	0	3	0	5	5	1	1	0	1		0	0	0																								
134	鱼鸥肉	寇岛	2980	2	0	0	1	0	3	0	3	3	1	1	0	1		0	0	0																								
135	鱼干	寇岛	2981	2	0	0	1	0	3	0	1		1	0	0	1		0	0	0																								
136	海寇的服装	寇岛	2982	2	0	0	1	0	3	0	1		1	1	0	1	scripts\Map\寇岛\item\海寇的衣服.lua	0	0	0																								
137	长矛	寇岛	2983	2	0	0	1	0	3	0	1		1	0	0	1		0	0	0																								
138	野狗皮	寇岛	2984	2	0	0	1	0	3	0	5	5	1	1	0	1		0	0	0																								
139	美食	寇岛	2985	2	0	0	1	0	3	0	1		1	0	0	1		0	0	0																								
140	野菜	寇岛	2986	2	0	0	1	0	3	0	8	8	1	1	0	1		0	0	0																								
141	鱿鱼丸子	寇岛	2987	2	0	0	1	0	3	0	7	7	1	1	0	1		0	0	0																								
142	野花	寇岛	2988	2	0	0	1	0	3	0	4	4	1	1	0	1		0	0	0																								
143	蛇肉	寇岛	2989	2	0	0	1	0	3	0	5	5	1	0	0	1		0	0	0																								
144	唐朝礼服	寇岛	2990	3	0	0	1	0	3	0	1		1	0	0	1		0	0	0																								
145	胭脂	寇岛	2991	2	0	0	1	0	3	0	1		1	0	0	1		0	0	0																								
146	不知名的草药	寇岛	2992	2	0	0	1	0	3	0	3	3	1	1	0	1		0	0	0																								
147	打包的货物	寇岛	2993	2	0	0	1	0	3	0	1		1	1	0	1		0	0	0																								
148	香料	寇岛	2994	2	0	0	1	0	3	0	1		1	1	0	1		0	0	0																								
149	丢失的货物	寇岛	2995	2	0	0	1	0	3	0	5	5	1	1	0	1		0	0	0																								
150	葫芦	寇岛	2996	2	0	0	1	0	3	0	1		1	0	0	1	scripts\Map\寇岛\item\葫芦.lua	0	0	0																								
151	清凉的山泉	寇岛	2997	2	0	0	1	0	3	0	1		1	0	0	1		0	0	0																								
152	海龟壳	寇岛	2998	2	0	0	1	0	3	0	2	2	1	1	0	1		0	0	0																								
153	石块	寇岛	2999	2	0	0	1	0	3	0	1		1	0	0	1		0	0	0																								
154	蟹子	寇岛	3000	2	0	0	1	0	3	0	5	5	1	1	0	1		0	0	0																								
155	海星	寇岛	3001	2	0	0	1	0	3	0	5	5	1	1	0	1		0	0	0																								
156	无瓣桑	寇岛	3002	2	0	0	1	0	3	0	1		1	0	0	1		0	0	0																								
157	水晶瓶	寇岛	3003	2	0	0	1	0	3	0	1		1	0	0	1		0	0	0																								
158	萤火虫	寇岛	3004	2	0	0	1	0	3	0	1		1	0	0	1		0	0	0																								
159	虫网	寇岛	3005	2	0	0	1	0	3	0	1		1	0	0	1	scripts\Map\寇岛\item\虫网.lua	0	0	0																								
160	海中灯	寇岛	3006	2	0	0	1	0	3	0	1		1	0	0	1		0	0	0																								
161	大颗的珍珠	寇岛	3007	2	0	0	1	0	3	0	5	5	1	1	0	1		0	0	0																								
162	龟胆	寇岛	3008	2	0	0	1	0	3	0	5	5	1	1	0	1		0	0	0																								
163	蔓荆	寇岛	3009	2	0	0	1	0	3	0	5	5	1	1	0	1		0	0	0																								
164	徐淮的日记	寇岛	3010	2	0	0	1	0	3	0	1		1	0	0	1	scripts\Map\寇岛\item\徐淮的日记.lua	0	0	0																								
165	好人卡	寇岛	3170	2	0	0	1	0	3	0	0	1	1	0	0	1		0	0	0																								
166	装满心愿的水晶瓶	寇岛	3171	2	0	0	1	0	3	0	0	1	1	0	0	1		0	0	0																								
167	装满萤火虫的水晶瓶	寇岛	3172	2	0	0	1	0	3	0	1	1	1	0	0	1	scripts\Map\寇岛\item\装满萤火虫的水晶瓶.lua	0	0	0																								
168	没有送出的信件	洛道	3173	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0																								
169	熊皮	昆仑	14579	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
170	半个玉佩	洛道	3175	2	0	0	1	0	3	0	1	1	0	0	0	1	scripts\Map\洛道\item\半个白玉佩.lua	0	0	0																								
171	测试套餐道具	测试用	3176	3	0	0	1	0	1	0	0	10	1	1	0	1	scripts\Craft\套餐道具使用.lua	0	0	0																								
172	阿雪亲笔信	日轮山城	14580	2	0	0	1	0	3	0	0	1	1	0	0	1		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0											
173	孟婆花	洛道	3178	2	0	0	1	0	3	0	6	6	1	1	0	1		0	0	0																								
174	孟婆汤	洛道	3179	2	0	0	1	0	3	0	1	1	0	0	0	1		0	0	0																								
175	毒人残骸	洛道	3180	2	0	0	1	0	3	0	1	1	0	0	0	1		0	0	0																								
176	清风寨密信	纯阳	3181	2	0	0	1	0	3	0	1	1	0	0	0	1		0	0	0																								
177	被夺的药材	纯阳	3182	2	0	0	1	0	3	0	6	6	1	1	0	1		0	0	0																								
178	完美的绿色血液	洛道	3183	2	0	0	1	0	3	0	0	20	1	1	0	1		0	0	0																								
179	王阳炼成的长生丹	纯阳	3184	2	0	0	1	0	3	0	1	1	0	0	0	1		0	0	0																								
180	黑铁石	纯阳	3185	2	0	0	1	0	3	0	1	1	1	0	0	1	scripts\Map\纯阳\item\黑铁石.lua	0	0	0																								
181	光滑的黑铁石	纯阳	3186	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0																								
182	山石道人伪造的书信	纯阳	3187	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0																								
183	包裹	寇岛	3188	2	0	0	1	0	3	0	2	2	1	1	0	1		0	0	0																								
184	狗肉	寇岛	3189	2	0	0	1	0	3	0	5	5	1	1	0	1		0	0	0																								
185	青铜器	寇岛	3190	2	0	0	1	0	3	0	1	1		0	0	1		0	0	0																								
186	整蟹	寇岛	3191	2	0	0	1	0	3	0	3	3	1	1	0	1		0	0	0																								
187	酒	寇岛	3192	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0																								
188	崭新的书信	洛道	3193	2	0	0	1	0	3	0	0	1	1	0	0	1		0	0	0																								
189	熊掌汤	洛道	3194	2	0	0	1	0	3	0	0	1	1	0	0	1		0	0	0																								
190	巨蜈蚣的毒液	洛道	3195	2	0	0	1	0	3	0	4	4	1	1	0	1		0	0	0																								
191	锄头	生活技艺_工具	64	3	0	0	1	5	1	0	0	1	0	0	1	1		0	0	0																								
192	锤子	生活技艺_工具	65	3	0	0	1	5	1	0	0	1	0	0	1	1		0	0	0																								
193	铲子	生活技艺_工具	66	3	0	0	1	5	1	0	0	1	0	0	1	1		0	0	0																								
194	小药臼	生活技艺_工具	67	3	0	0	1	5	1	0	0	1	0	0	1	1		0	0	0																								
195	绣花针	生活技艺_工具	68	3	0	0	1	5	1	0	0	1	0	0	1	1		0	0	0																								
196	庖丁小刀	生活技艺_工具	69	3	0	0	1	5	1	0	0	1	0	0	1	1		0	0	0																								
197	小花的遗体	洛道	3196	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0																								
198	坚壳蝎子的尾巴	洛道	3197	2	0	0	1	0	3	0	4	4	1	1	0	1		0	0	0																								
199	碧眼蟾蜍的薄膜	洛道	3198	2	0	0	1	0	3	0	0	20	1	1	0	1		0	0	0																								
200	马鞭	洛道	3199	2	0	0	1	0	3	0	0	1	1	0	0	1	scripts\Map\洛道\item\马鞭.lua	0	0	0	207																							
201	脏兮兮的猪尾巴	默认分类	70	3	0	0	0	32	1	0	0	10	1	1	1	1		0	0	0																								
202	野猪獠牙	默认分类	71	3	0	0	0	5	1	0	0	10	1	1	1	1		0	0	0																								
203	猪蹄子	默认分类	72	3	0	0	0	5	1	0	0	5	1	1	1	1		0	0	0																								
204	猪大肠	默认分类	73	3	0	0	0	5	1	0	0	10	1	1	1	1		0	0	0																								
205	鸡骨头碎片	默认分类	74	3	0	0	0	0	1	0	0	10	1	1	1	1		0	0	0																								
206	腐烂的兔子	默认分类	75	3	0	0	0	5	1	0	0	10	1	1	1	1		0	0	0																								
207	锋利的狼牙	默认分类	76	3	0	0	0	5	1	0	0	5	1	1	1	1		0	0	0																								
208	带血的鸡毛	默认分类	77	3	0	0	0	3	1	0	0	10	1	1	1	1		0	0	0																								
209	动物皮	默认分类	78	3	0	0	0	5	1	0	0	10	1	1	1	1		0	0	0																								
210	肉筋	默认分类	79	3	0	0	0	5	1	0	0	5	1	1	1	1		0	0	0																								
211	一串蛇骨	默认分类	80	3	0	0	0	5	1	0	0	5	1	1	1	1		0	0	0																								
212	狗爪子	默认分类	81	3	0	0	0	5	1	0	0	10	1	1	1	1		0	0	0																								
213	狗牙	默认分类	82	3	0	0	0	1	1	0	0	10	1	1	1	1		0	0	0																								
214	鸡肠	默认分类	83	3	0	0	0	5	1	0	0	10	1	1	1	1		0	0	0																								
215	鸡蛋	默认分类	84	3	0	0	0	142	1	0	0	5	1	1	1	1		0	0	0																								
216	闪光的鳞片	默认分类	85	3	0	0	0	0	1	0	0	10	1	1	1	1		0	0	0																								
217	鱼籽	默认分类	86	3	0	0	0	246	1	0	0	5	1	1	1	1		0	0	0																								
218	雪白的鹅毛	默认分类	87	3	0	0	0	10	1	0	0	10	1	1	1	1		0	0	0																								
219	鹅喙	默认分类	88	3	0	0	0	119	1	0	0	10	1	1	1	1		0	0	0																								
220	白兔尾巴	默认分类	89	3	0	0	0	319	1	0	0	5	1	1	1	1		0	0	0																								
221	山贼头巾	默认分类	90	3	0	0	0	12	1	0	0	5	1	1	1	1		0	0	0																								
222	毛手臂	默认分类	321	3	0	0	0	48	1	0	0	20	1	1	1	1		0	0	0																								
223	新鲜的桃子	默认分类	322	3	0	0	0	2	1	0	0	20	1	1	1	1		0	0	0																								
224	粗绒毛皮	默认分类	323	3	0	0	0	45	1	0	0	10	1	1	1	1		0	0	0																								
225	细长的尾巴	默认分类	324	3	0	0	0	155	1	0	0	20	1	1	1	1		0	0	0																								
226	鹿角	默认分类	325	3	0	0	0	46	1	0	0	10	1	1	1	1		0	0	0																								
227	新鲜的鹿珍	默认分类	326	3	0	0	0	45	1	0	0	20	1	1	1	1		0	0	0																								
228	硬蹄子	默认分类	327	3	0	0	0	35	1	0	0	20	1	1	1	1		0	0	0																								
229	鹿肝	默认分类	328	3	0	0	0	170	1	0	0	10	1	1	1	1		0	0	0																								
230	鲜兽血	默认分类	329	3	0	0	0	4	1	0	0	20	1	1	1	1		0	0	0																								
231	密封的包裹	洛道	3200	2	0	0	1	0	3	0	1	1	1	0	0	1		0	0	0																								
232	坚硬的毫毛	默认分类	331	3	0	0	0	166	1	0	0	20	1	1	1	1		0	0	0																								
233	锋利的兽牙	默认分类	332	3	0	0	0	32	1	0	0	10	1	1	1	1		0	0	0																								
234	锯齿龟背甲	默认分类	333	3	0	0	0	36	1	0	0	20	1	1	1	1		0	0	0																								
235	椭圆的小蛋	默认分类	334	3	0	0	0	46	1	0	0	10	1	1	1	1		0	0	0																								
236	尖牙齿	默认分类	335	3	0	0	0	55	1	0	0	10	1	1	1	1		0	0	0																								
